,tagName,innerHtml,innerText,href,locationX,locationY,className,hasCurrencySIgn,hasPercantage,hasNumber,hasPriceInName,isLink,cssFontSize,cssFontStyle,cssFontWidth,cssFontColor,cssFontWeight,cssBgColor,cssHeight
0,a,Rejestracja paragonu,rejestracja paragonu,https://www.euro.com.pl/customer-receipt.bhtml,319,140,class ,False,False,False,False,True,12px,normal,auto,"rgb(4, 92, 169)",400,"rgba(0, 0, 0, 0)",auto
1,a,Koszty dostawy,koszty dostawy,https://www.euro.com.pl/cms/darmowy-transport.bhtml?link=sg-naglowek,447,140,class ,False,False,False,False,True,12px,normal,auto,"rgb(4, 92, 169)",400,"rgba(0, 0, 0, 0)",auto
2,a,Status Zamówienia,status zamówienia,https://www.euro.com.pl/customer-order-list.bhtml?link=naglowek,546,140,class ,False,False,False,False,True,12px,normal,auto,"rgb(4, 92, 169)",400,"rgba(0, 0, 0, 0)",auto
3,a,Leasing,leasing,https://www.euro.com.pl/cms/sprzedaz-dla-firm-i-instytucji2.bhtml?link=naglowek,661,140,class ,False,False,False,False,True,12px,normal,auto,"rgb(4, 92, 169)",400,"rgba(0, 0, 0, 0)",auto
4,a,Raty,raty,https://www.euro.com.pl/cms/raty.bhtml?link=naglowek,717,140,class ,False,False,False,False,True,12px,normal,auto,"rgb(4, 92, 169)",400,"rgba(0, 0, 0, 0)",auto
5,a,Reklamacje,reklamacje,https://www.euro.com.pl/cms/pomoc-reklamacja-towaru.bhtml?link=sg-naglowek,758,140,class ,False,False,False,False,True,12px,normal,auto,"rgb(4, 92, 169)",400,"rgba(0, 0, 0, 0)",auto
6,a,Znajdź sklep,znajdź sklep,https://www.euro.com.pl/sklepy.bhtml?link=naglowek,835,140,class ,False,False,False,False,True,12px,normal,auto,"rgb(4, 92, 169)",400,"rgba(0, 0, 0, 0)",auto
7,a,Centrum Informacji,centrum informacji,https://www.euro.com.pl/cms/centrum-informacji.bhtml?link=sg-naglowek,917,140,class ,False,False,False,False,True,12px,normal,auto,"rgb(4, 92, 169)",400,"rgba(0, 0, 0, 0)",auto
8,a,Poradniki,poradniki,https://www.euro.com.pl/artykuly.bhtml?link=naglowek,1038,140,class ,False,False,False,False,True,12px,normal,auto,"rgb(4, 92, 169)",400,"rgba(0, 0, 0, 0)",auto
9,a,Sprzedaż dla firm,sprzedaż dla firm,https://www.euro.com.pl/cms/sprzedaz-dla-firm-i-instytucji.bhtml?link=naglowek,1106,140,class ,False,False,False,False,True,12px,normal,auto,"rgb(4, 92, 169)",400,"rgba(0, 0, 0, 0)",auto
