tagName;className;location['x'];location['y'];isLink;hasCurrencySIgn;hasPercantage;hasNumber;hasPriceInName;innerText[:100]
a;polityka;78;25;True;False;False;False;False;polityce prywatności
a;close;1195;20;True;False;False;False;False;nie pokazuj
a;;319;140;True;False;False;False;False;rejestracja paragonu
a;;447;140;True;False;False;False;False;koszty dostawy
a;;546;140;True;False;False;False;False;status zamówienia
a;;661;140;True;False;False;False;False;leasing
a;;717;140;True;False;False;False;False;raty
a;;758;140;True;False;False;False;False;reklamacje
a;;835;140;True;False;False;False;False;znajdź sklep
a;;917;140;True;False;False;False;False;centrum informacji
a;;1038;140;True;False;False;False;False;poradniki
a;;1106;140;True;False;False;False;False;sprzedaż dla firm
a;;1231;140;True;False;False;False;False;kontakt
div;select3-selected-item;725;175;False;False;False;False;False;telewizory
span;empty;994;169;False;False;False;True;False;0
div;helpline-phone;1056;173;False;False;False;True;False;855 855 855
div;helpline-hours;1056;197;False;False;False;True;False;jutro od 9:00!
div;helpline-info-header;982;228;False;False;False;False;False;
div;;982;250;False;False;False;False;False;
div;helpline-info-phone;982;344;False;False;False;False;False;
span;user-not-logged;1177;177;False;False;False;False;False;witaj, zaloguj się
span;user-account;1177;194;False;False;False;False;False;moje konto
a;selenium-main-category;78;234;True;False;False;False;False;tv, audio i video
a;selenium-main-category;222;234;True;False;False;False;False;agd
a;selenium-main-category;277;234;True;False;False;False;False;agd do zabudowy
a;selenium-main-category;439;234;True;False;False;False;False;agd małe
a;selenium-main-category;533;234;True;False;False;False;False;komputery
a;selenium-main-category;643;234;True;False;False;False;False;gry i konsole
a;selenium-main-category;770;234;True;False;False;False;False;foto i kamery
a;selenium-main-category;897;234;True;False;False;False;False;telefony i zegarki
span;tcenter;1189;240;False;False;False;False;False;promocje
span;;88;402;False;False;False;False;False;sklep rtv euro agd
a;;230;400;True;False;False;False;False;tv, audio i video
span;;354;400;False;False;False;False;False;telewizory
h1;;88;427;False;False;False;False;False;telewizory
div;count;209;427;False;False;False;True;False;(423)
label;;98;487;False;False;False;False;False;sortuj według
div;select3-selected-item;98;512;False;False;False;False;False;popularność
div;filter-name js-filter-name;93;585;False;False;False;False;False;cena
span;filter-price-range;175;622;False;False;False;False;True;-
a;selenium-lp-filter-price-button;275;620;True;False;False;False;True;ok
div;filter-name js-filter-name;93;686;False;False;False;False;False;raty
a;link ;123;726;True;False;True;True;False;raty 50x0%
em;;187;726;False;False;False;True;False;(377)
a;link ;123;754;True;False;True;True;False;raty 40x0%
em;;187;754;False;False;False;True;False;(399)
a;link ;123;782;True;False;True;True;False;raty 30x0%
em;;187;782;False;False;False;True;False;(407)
a;link ;123;810;True;False;True;True;False;raty 20x0%
em;;187;810;False;False;False;True;False;(410)
a;link ;123;838;True;False;True;True;False;raty 10x0%
em;;187;838;False;False;False;True;False;(422)
a;link ;123;866;True;False;False;False;False;dobre raty
em;;185;866;False;False;False;True;False;(15)
div;filter-name js-filter-name;93;925;False;False;False;False;False;marka
a;link ;123;964;True;False;False;False;False;samsung
em;;172;964;False;False;False;True;False;(72)
a;link ;123;992;True;False;False;False;False;lg
em;;140;992;False;False;False;True;False;(75)
a;link ;123;1020;True;False;False;False;False;sony
em;;151;1020;False;False;False;True;False;(65)
a;link ;123;1048;True;False;False;False;False;philips
em;;160;1048;False;False;False;True;False;(59)
a;link ;123;1076;True;False;False;False;False;panasonic
em;;179;1076;False;False;False;True;False;(29)
a;link ;123;1104;True;False;False;False;False;sharp
em;;156;1104;False;False;False;True;False;(23)
span;;124;1128;False;False;False;False;False;pokaż wszystkie
div;filter-name js-filter-name;93;1184;False;False;False;False;False;ocena klientów
em;;210;1224;False;False;False;True;False;(314)
em;;210;1252;False;False;False;True;False;(25)
em;;210;1280;False;False;False;True;False;(7)
em;;210;1308;False;False;False;True;False;(3)
span;;124;1331;False;False;False;False;False;pokaż wszystkie
div;filter-name js-filter-name;93;1387;False;False;False;False;False;dostępność
a;link ;123;1426;True;False;False;False;False;dostępne natychmiast
em;;240;1426;False;False;False;True;False;(180)
a;link ;123;1454;True;False;False;False;False;dostępne w sklepach
em;;233;1454;False;False;False;True;False;(192)
div;filter-name js-filter-name;93;2252;False;False;False;False;False;komunikacja dodatkowa
div;filter-name js-filter-name;93;2662;False;False;False;False;False;kolor
div;filter-name js-filter-name;93;2954;False;False;False;False;False;status
a;link ;123;2994;True;False;False;False;False;nowości
em;;169;2994;False;False;False;True;False;(27)
a;link ;123;3022;True;False;False;False;False;promocje
em;;176;3022;False;False;False;True;False;(23)
div;filter-name js-filter-name;93;3081;False;False;False;False;False;outlet
a;link ;123;3120;True;False;False;False;False;stan doskonały
em;;204;3120;False;False;False;True;False;(94)
a;link ;123;3148;True;False;False;False;False;stan dobry
em;;181;3148;False;False;False;True;False;(97)
div;filter-name js-filter-name;93;3208;False;False;False;False;False;promocja
a;link ;123;3248;True;False;True;True;False;soundbary 30% taniej w zestawie z lg tv!
em;;123;3266;False;False;False;True;False;(75)
a;link ;123;3292;True;True;False;True;False;soundbar za 1 zł w zestawie z tv samsung ue58ru7102k!
em;;212;3310;False;False;False;True;False;(1)
a;link ;123;3336;True;False;False;True;False;konsola xbox one s w zestawie z tv philips 55oled803!
em;;196;3354;False;False;False;True;False;(1)
a;link ;123;3380;True;False;True;True;False;soundbary 20% taniej w zestawie z tv sony!
em;;123;3398;False;False;False;True;False;(9)
a;link ;123;3424;True;False;False;True;False;hbo go na 3 miesiące w prezencie przy zakupie samsung tv!
em;;236;3442;False;False;False;True;False;(15)
a;link ;123;3468;True;False;False;False;False;odbierz smartfon przy zakupie lg oled tv!
em;;178;3486;False;False;False;True;False;(3)
a;js-filter-notify;103;3533;True;False;False;False;False;brakuje ci opcji przeglądania? zgłoś!
div;filtr_title;394;552;False;False;False;False;False;oled
div;filtr_opis;394;567;False;False;False;False;False;cienki smukły ekran, najwyższy kontrast, doskonała czerń
div;filtr_title;568;552;False;False;False;False;False;qled
div;filtr_opis;568;567;False;False;False;False;False;miliard wyświetlanych kolorów, dynamiczny obraz w najwyższej jakości
div;filtr_title;742;552;False;False;False;False;False;smart tv
div;filtr_opis;742;567;False;False;False;False;False;połączenie z internetem, aplikacje internetowe (np. netflix, youtube)
div;filtr_title;916;552;False;False;False;False;False;dla gracza
div;filtr_opis;916;567;False;False;False;False;False;wysoka dynamika obrazu, idealny do podłączenia konsoli
div;filtr_title;1090;552;False;False;False;False;False;do oglądania sportu
div;filtr_opis;1090;567;False;False;False;False;False;widoczne każde detale, niezwykle płynny obraz
a;js-save-keyword selenium-lp-product-link;409;664;True;False;False;True;False;samsung ue65ru8002u
em;;498;695;False;False;False;True;False;(3 opinie)
a;;560;697;True;False;False;False;False;telewizor led
a;product-brand;635;697;True;False;False;False;False;samsung
span;product-status promocja;393;727;False;False;False;False;False;promocja
a;energy-card js-energy-card;786;727;True;False;False;False;False;karta produktu
a;js-dictionary;679;830;True;False;False;False;False;ekran
span;attribute-value;715;830;False;False;False;True;False;65 cali, 4k uhd, 3840 x 2160
a;js-dictionary;679;850;True;False;False;False;False;smart tv
span;attribute-value;732;850;False;False;False;False;False;tak
a;js-dictionary;679;870;True;False;False;False;False;częstotliwość odświeżania ekranu
span;attribute-value;863;870;False;False;False;True;False;100 hz
span;attribute-name;679;890;False;False;False;False;False;funkcje
a;fancydict;726;890;True;False;False;False;False;hdr
a;fancydict;757;890;True;False;False;False;False;smart
a;fancydict;794;890;True;False;False;False;False;wi-fi
a;fancydict;829;890;True;False;False;False;False;dlna
a;fancydict;867;890;True;False;False;False;False;usb - multimedia
a;fancydict;679;905;True;False;False;False;False;bluetooth
a;fancydict;739;905;True;False;False;False;False;obsługa głosowa
a;fancydict;832;905;True;False;False;True;False;hdmi x4
a;fancydict;885;905;True;False;False;True;False;usb x2
a;depositories-button js-depositories;627;988;True;False;False;False;False;obejrzyj w sklepie
a;call-button js-call;772;987;True;False;False;False;False;zadzwoń i zamów
div;price-normal selenium-price-normal;1032;656;False;True;False;True;True;4 599 zł
div;price-old;1099;714;False;True;False;True;True;4 899 zł
div;price-promotion-date;1032;731;False;False;False;True;True;cena obowiązuje: 16.08.2019 - 29.08.2019
span;price-instalments-label;1062;767;False;False;False;False;True;raty:
a;price-instalments selenium-price-instalments js-scroll-by-hash;1115;767;True;True;True;True;True;114,97 zł x 40 rat 0%
a;;1032;872;True;False;False;False;False;darmowy transport
a;shop-delivery-action js-shop-delivery;1032;897;True;False;False;False;False;do odbioru: już jutro!
span;;1054;923;False;False;False;False;False;do domu:
button;add-to-cart add-to-cart-big btn-type-add_to_cart js-add-to-cart selenium-add_to_cart-button;1032;950;False;False;False;False;False;do koszyka
a;js-save-keyword selenium-lp-product-link;409;1045;True;False;False;True;False;philips 55pus7334/12
em;;498;1076;False;False;False;True;False;(6 opinii)
a;;557;1078;True;False;False;False;False;telewizor led
a;product-brand;632;1078;True;False;False;False;False;philips
span;product-status nowosc;393;1108;False;False;False;False;False;nowość
a;energy-card js-energy-card;786;1108;True;False;False;False;False;karta produktu
a;js-dictionary;679;1211;True;False;False;False;False;ekran
span;attribute-value;715;1211;False;False;False;True;False;55 cali, 4k uhd, 3840 x 2160
a;js-dictionary;679;1231;True;False;False;False;False;smart tv
span;attribute-value;732;1231;False;False;False;False;False;tak
a;js-dictionary;679;1251;True;False;False;False;False;częstotliwość odświeżania ekranu
span;attribute-value;863;1251;False;False;False;True;False;50 hz
span;attribute-name;679;1271;False;False;False;False;False;funkcje
a;fancydict;726;1271;True;False;False;False;False;hdr
a;fancydict;757;1271;True;False;False;False;False;android tv
a;fancydict;824;1271;True;False;False;False;False;smart
a;fancydict;861;1271;True;False;False;False;False;wi-fi
a;fancydict;896;1271;True;False;False;False;False;usb - multimedia
a;fancydict;679;1286;True;False;False;False;False;usb - nagrywanie
a;fancydict;776;1286;True;False;False;False;False;bluetooth
a;fancydict;836;1286;True;False;False;False;False;obsługa głosowa
a;fancydict;929;1286;True;False;False;False;False;ambilight
a;fancydict;679;1301;True;False;False;True;False;hdmi x4
a;fancydict;732;1301;True;False;False;True;False;usb x2
div;name;695;1343;False;False;False;False;False;ekran:
div;value;740;1343;False;False;False;True;False;55 cali
a;
											variant-item
											js-variant-item
											 variant-one
											;685;1377;True;False;False;False;False;
a;
											variant-item
											js-variant-item
											 variant-one
											;685;1414;True;False;False;False;False;
a;
											variant-item
											js-variant-item
											 active-item variant-one
											;685;1451;True;False;False;False;False;
a;depositories-button js-depositories;627;1380;True;False;False;False;False;obejrzyj w sklepie
a;call-button js-call;772;1379;True;False;False;False;False;zadzwoń i zamów
div;price-normal selenium-price-normal;1032;1037;False;True;False;True;True;3 399 zł
span;price-instalments-label;1070;1107;False;False;False;False;True;raty:
a;price-instalments selenium-price-instalments js-scroll-by-hash;1123;1107;True;True;True;True;True;67,98 zł x 50 rat 0%
a;;1032;1212;True;False;False;False;False;wejdź do sklepu philips!
a;;1032;1232;True;False;False;False;False;darmowy transport
a;shop-delivery-action js-shop-delivery;1032;1257;True;False;False;False;False;do odbioru: już jutro!
span;;1054;1283;False;False;False;False;False;do domu:
